train_no,timestamp,latitude,longitude,speed_kmph,current_delay_min,distance_to_station_km,historical_travel_time_min,previous_delay_min,congestion_index,expected_dwell_min,signal_delay_min,maintenance_block,level_crossing_delay_min,actual_remaining_time_min
13005,2026-09-02T00:28:00Z,22.72518,88.481784,49.15,25.02,119.24,142.44,31.1,0.246,6.92,6.63,0,0.76,159.12
12019,2026-09-03T03:35:00Z,22.531668,88.331458,32.61,8.2,51.37,110.3,12.29,0.141,6.19,1.68,0,2.75,112.16
12302,2026-09-04T06:42:00Z,22.439836,88.321965,63.3,6.16,130.72,145.2,5.29,0.073,2.9,1.08,0,0,136.04
12019,2026-09-05T09:49:00Z,22.445215,88.363033,91.04,26.59,107.98,77.18,25.33,0.127,3.03,3.83,0,0,82.81
12302,2026-09-06T12:56:00Z,22.721919,88.185252,75.02,27.89,150.5,142.29,32.24,0.299,1.81,4.95,0,1.37,140.38
12301,2026-09-07T15:03:00Z,22.654583,88.477579,51.9,0,107.23,134.31,0,0.384,1.8,4.59,0,2.35,138.56
12302,2026-09-08T18:10:00Z,22.618583,88.495699,51.26,0,28.92,32.8,0,0.313,6.28,3.39,0,0,38.21
13006,2026-09-09T21:17:00Z,22.742079,88.186119,58.45,4.4,80.84,88.3,0,0.616,1.26,1.84,0,0.7,97.9
13005,2026-09-01T00:24:00Z,22.65001,88.35182,75.64,15.52,84.9,73.68,5.25,0.26,4.33,3.46,0,1.64,81.45
12302,2026-09-02T03:31:00Z,22.515392,88.373185,33.52,4.57,128.25,286.21,0,0.301,5.75,2.79,1,0.28,268.91
12020,2026-09-03T06:38:00Z,22.531838,88.466665,55.57,26.91,131.1,159.92,21.27,0.399,7.77,2.96,0,0,163.24
12302,2026-09-04T09:45:00Z,22.47929,88.205026,90.31,6.73,149.73,115.25,4.32,0.467,2.26,1.62,0,2.84,115.86
12301,2026-09-05T12:52:00Z,22.652414,88.167477,56.62,0,142.5,162.73,0,0.202,5.18,3.52,0,1.98,161.28
12019,2026-09-06T15:59:00Z,22.744554,88.334672,90.87,0,45.04,31.39,0,0.376,4.28,6.75,0,0,46.53
12019,2026-09-07T18:06:00Z,22.456109,88.329728,100.03,13.5,92.01,57.76,16.34,0.657,3.6,7.51,0,0.25,74.28
13005,2026-09-08T21:13:00Z,22.725789,88.485671,43.26,12.95,80.43,137.35,13.91,0.509,2.65,6.19,0,0.95,138.15
13006,2026-09-09T00:20:00Z,22.548139,88.460469,60.18,19.82,28.85,26.28,17.02,0.568,7.34,5.66,0,1.32,47.37
12302,2026-09-01T03:27:00Z,22.615183,88.246226,57.1,4.97,11.45,12.6,6.48,0.115,4.61,0.33,0,2.18,19.96
12020,2026-09-02T06:34:00Z,22.423646,88.24645,46.86,0,121.27,168.21,9.51,0.354,7.11,5.32,0,1.6,174.44
13006,2026-09-03T09:41:00Z,22.422085,88.460476,86.54,0.6,139.56,111.97,0,0.5,4.25,4.52,0,0,110.82
12020,2026-09-04T12:48:00Z,22.495626,88.469737,33.33,16.56,38.68,81.95,13.7,0.152,1.26,1.62,0,0.22,83.99
12020,2026-09-05T15:55:00Z,22.512424,88.182028,110.05,14.32,134.57,89.0,4.11,0.226,1.55,6.43,0,2.03,89.18
13006,2026-09-06T18:02:00Z,22.455995,88.162456,56.61,15.42,81.93,99.97,20.11,0.328,6.54,6.1,0,1.99,104.02
13005,2026-09-07T21:09:00Z,22.510035,88.261476,91.03,8.63,80.56,50.13,9.27,0.28,4.11,5.99,1,2.13,74.64
12301,2026-09-08T00:16:00Z,22.649679,88.548905,32.33,14.29,35.93,72.09,12.99,0.625,5.86,5.84,0,1.19,86.79
13006,2026-09-09T03:23:00Z,22.744796,88.466826,117.08,12.76,177.62,103.2,11.17,0.36,5.9,0.99,0,0.51,105.79
12302,2026-09-01T06:30:00Z,22.740333,88.406935,101.13,0,7.65,4.97,6.62,0.579,8.0,3.84,0,0,17.59
12020,2026-09-02T09:37:00Z,22.456688,88.523895,71.92,6.49,94.57,74.55,9.51,0.558,7.08,2.01,0,0,87.19
12302,2026-09-03T12:44:00Z,22.652221,88.392056,61.14,14.31,169.54,201.85,11.18,0.589,4.73,3.14,0,1.19,197.16
13005,2026-09-04T15:51:00Z,22.505733,88.247951,33.71,22.09,155.89,257.63,30.23,0.199,1.21,1.7,0,0,275.16
13006,2026-09-05T18:58:00Z,22.437164,88.246695,66.55,15.66,83.28,85.67,20.0,0.475,3.24,5.74,0,1.1,94.84
12301,2026-09-06T21:05:00Z,22.574566,88.273416,54.07,0,46.88,48.58,0,0.463,3.19,5.76,0,0,61.69
12301,2026-09-07T00:12:00Z,22.528022,88.311302,38.1,10.77,72.6,121.19,17.38,0.072,5.71,2.23,0,1.39,126.57
12301,2026-09-08T03:19:00Z,22.678214,88.285634,66.05,15.84,103.94,91.41,14.0,0.419,5.76,3.42,0,2.68,106.09
12019,2026-09-09T06:26:00Z,22.658762,88.269694,97.95,6.95,38.23,25.25,6.95,0.152,5.24,0.83,0,1.07,33.81
12019,2026-09-01T09:33:00Z,22.608918,88.256212,75.66,36.05,93.22,79.21,30.82,0.095,3.15,1.5,0,2.67,83.37
13006,2026-09-02T12:40:00Z,22.509792,88.210573,100.46,7.63,140.38,92.41,1.12,0.143,2.03,2.36,0,0.86,93.36
13006,2026-09-03T15:47:00Z,22.560882,88.363251,48.35,11.25,91.82,126.94,1.69,0.461,7.99,4.53,0,0,135.52
13005,2026-09-04T18:54:00Z,22.510964,88.289521,61.89,0.45,139.64,156.01,0,0.497,2.57,5.64,0,0.99,157.95
13006,2026-09-05T21:01:00Z,22.489755,88.341632,54.61,25.07,24.57,30.69,14.88,0.411,3.01,7.49,0,0.28,45.29
12302,2026-09-06T00:08:00Z,22.448113,88.535808,104.52,9.35,50.99,32.1,11.73,0.735,2.58,5.04,0,1.89,43.15
12302,2026-09-07T03:15:00Z,22.461273,88.502898,66.62,12.61,168.5,183.23,9.31,0.63,4.75,4.71,0,4.26,181.34
12302,2026-09-08T06:22:00Z,22.583511,88.505704,114.05,11.52,9.43,5.92,8.4,0.569,3.09,0.61,0,0,10.03
12302,2026-09-09T09:29:00Z,22.699651,88.508817,106.6,14.05,85.84,46.75,16.31,0.443,6.54,4.54,0,1.24,59.86
12020,2026-09-01T12:36:00Z,22.642469,88.17485,76.38,12.19,18.35,16.35,14.72,0.326,6.28,4.93,0,0.84,31.29
12301,2026-09-02T15:43:00Z,22.559243,88.545535,71.89,11.05,31.27,29.76,20.31,0.447,3.57,1.85,0,2.85,39.49
12019,2026-09-03T18:50:00Z,22.591677,88.352195,67.43,0,100.21,94.95,0,0.135,1.57,0,1,1.97,102.67
13005,2026-09-04T21:57:00Z,22.507859,88.158708,78.3,8.6,32.12,29.52,1.55,0.714,3.91,5.93,0,0,39.71
12019,2026-09-05T00:04:00Z,22.704367,88.512707,103.48,18.82,135.01,86.3,20.11,0.109,6.36,5.29,0,0.91,95.63
12020,2026-09-06T03:11:00Z,22.562051,88.437638,37.22,9.56,173.65,337.61,16.21,0.156,7.85,5.57,0,1.36,311.35
12020,2026-09-07T06:18:00Z,22.64615,88.169471,77.87,5.44,148.73,113.06,8.74,0.147,7.19,3.94,0,1.3,126.76
13006,2026-09-08T09:25:00Z,22.482916,88.500503,33.98,12.83,80.7,155.15,13.06,0.215,5.03,0,0,1.59,150.18
13006,2026-09-09T12:32:00Z,22.542891,88.269955,76.91,0,76.2,59.22,0,0.405,1.33,2.01,0,2.99,64.91
12302,2026-09-01T15:39:00Z,22.626347,88.51889,97.9,7.64,86.81,63.7,5.18,0.508,4.9,7.01,0,1.25,74.8
12019,2026-09-02T18:46:00Z,22.405367,88.524864,38.32,8.27,131.25,198.65,15.7,0.525,6.07,1.97,0,0.58,210.5
13006,2026-09-03T21:53:00Z,22.579486,88.348911,40.56,31.76,179.92,284.17,32.07,0.174,3.66,5.42,0,0.46,288.16
12301,2026-09-04T00:00:00Z,22.480507,88.377916,102.25,7.12,130.87,89.58,10.17,0.136,1.11,0.04,0,0.55,85.53
12302,2026-09-05T03:07:00Z,22.411838,88.488679,74.94,16.34,118.87,108.47,15.92,0.255,7.42,6.73,0,0.87,114.39
13006,2026-09-06T06:14:00Z,22.543968,88.15669,34.37,7.44,4.13,6.84,6.07,0.165,5.46,6.7,0,0,20.55
13006,2026-09-07T09:21:00Z,22.493564,88.308759,54.73,11.22,176.01,174.83,14.11,0.717,2.04,2.11,0,0,195.54
12019,2026-09-08T12:28:00Z,22.742065,88.539536,116.34,7.25,84.24,42.8,3.26,0.077,5.46,2.07,0,0.6,46.98
13005,2026-09-09T15:35:00Z,22.40548,88.232863,112.72,2.91,43.67,28.25,0.62,0.174,4.8,0.28,0,2.46,35.65
12302,2026-09-01T18:42:00Z,22.741013,88.171479,97.7,15.27,129.15,82.44,16.66,0.234,3.32,2.97,0,0.38,88.76
12020,2026-09-02T21:49:00Z,22.533025,88.458867,50.89,0,16.46,21.57,0,0.425,4.87,1.94,0,1.98,32.82
12019,2026-09-03T00:56:00Z,22.557095,88.371896,101.82,18.93,129.22,70.71,25.43,0.479,1.04,3.24,0,2.52,88.64
12020,2026-09-04T03:03:00Z,22.459326,88.257568,39.3,14.77,18.86,31.51,7.58,0.221,7.95,0.88,0,0,35.5
12019,2026-09-05T06:10:00Z,22.617067,88.471631,74.38,0,14.2,12.05,2.74,0.154,5.16,2.93,0,1.87,21.81
12019,2026-09-06T09:17:00Z,22.621516,88.537105,69.62,7.16,79.22,81.12,3.25,0.183,2.24,0.55,0,0.17,81.26
12302,2026-09-07T12:24:00Z,22.424206,88.489115,59.33,0,52.61,62.52,8.7,0.285,1.19,2.46,0,0,65.44
12020,2026-09-08T15:31:00Z,22.546405,88.164706,90.57,0,27.63,18.42,0,0.311,5.08,4.4,0,3.88,28.69
12019,2026-09-09T18:38:00Z,22.437081,88.189443,93.15,14.13,146.78,104.74,12.9,0.327,4.94,1.54,0,0,104.53
12302,2026-09-01T21:45:00Z,22.736605,88.196428,75.96,25.54,94.83,82.63,20.71,0.253,3.41,2.02,1,2.43,98.28
13006,2026-09-02T00:52:00Z,22.457524,88.54356,42.75,13.07,58.2,86.54,18.61,0.257,3.1,3.39,0,0.51,91.1
12302,2026-09-03T03:59:00Z,22.550343,88.15178,76.44,0,100.69,80.29,0,0.658,3.77,5.63,0,2.42,93.34
12302,2026-09-04T06:06:00Z,22.695931,88.396945,48.52,14.28,136.16,199.2,15.17,0.327,4.69,1.58,0,0,188.11
13006,2026-09-05T09:13:00Z,22.465014,88.404201,93.54,5.19,55.65,39.8,7.5,0.216,4.58,3.41,0,2.16,49.18
13006,2026-09-06T12:20:00Z,22.543197,88.34669,112.72,14.12,167.73,85.76,17.7,0.151,7.66,1.29,0,1.3,92.47
13006,2026-09-07T15:27:00Z,22.439624,88.195683,105.59,4.51,89.5,47.24,12.81,0.221,4.2,3.54,0,1.39,55.81
13005,2026-09-08T18:34:00Z,22.553674,88.547583,104.1,25.39,67.93,46.52,27.45,0.558,6.26,1.98,0,6.67,58.89
12302,2026-09-09T21:41:00Z,22.458932,88.5416,48.89,25.0,133.56,187.05,29.41,0.206,6.64,0.72,0,0,181.62
12019,2026-09-01T00:48:00Z,22.689969,88.454589,56.04,25.02,50.32,64.67,24.33,0.077,7.95,3.01,0,0.62,68.04
13006,2026-09-02T03:55:00Z,22.570816,88.382782,65.34,25.77,28.16,29.0,22.4,0.07,6.25,0.88,0,2.38,33.57
13006,2026-09-03T06:02:00Z,22.666789,88.168377,38.38,3.66,175.07,307.11,0,0.525,2.99,3.09,0,0.97,300.03
13006,2026-09-04T09:09:00Z,22.495907,88.411835,100.55,0,84.35,47.49,3.38,0.012,1.92,0.37,0,3.09,58.4
12019,2026-09-05T12:16:00Z,22.402822,88.28743,37.42,23.28,120.62,218.0,25.52,0.494,1.67,4.16,0,1.79,216.15
12301,2026-09-06T15:23:00Z,22.585678,88.15339,118.93,8.68,77.75,37.12,13.11,0.389,6.27,4.4,0,2.03,51.68
13006,2026-09-07T18:30:00Z,22.486725,88.407848,44.77,9.76,65.16,85.1,0,0.516,1.98,6.38,0,2.9,97.26
12302,2026-09-08T21:37:00Z,22.714269,88.531869,79.81,17.6,109.2,91.35,18.98,0.649,4.57,1.58,0,1.06,99.62
12020,2026-09-09T00:44:00Z,22.425547,88.384945,64.73,28.9,45.67,47.56,33.43,0.05,6.87,0,0,2.1,45.74
12301,2026-09-01T03:51:00Z,22.508467,88.354522,53.6,15.36,10.05,10.36,16.81,0.435,1.58,1.44,0,0.3,18.01
12302,2026-09-02T06:58:00Z,22.41926,88.416432,117.69,0,30.5,15.77,0,0.491,7.67,4.07,0,2.32,31.44
13006,2026-09-03T09:05:00Z,22.410275,88.472843,96.66,19.17,24.14,17.2,18.27,0.658,6.47,3.49,0,3.15,30.2
12019,2026-09-04T12:12:00Z,22.404301,88.168393,77.15,1.85,49.54,47.83,0,0.492,7.26,3.51,0,0.54,58.44
12019,2026-09-05T15:19:00Z,22.715679,88.221738,64.47,10.32,29.56,33.73,14.29,0.32,2.9,1.3,1,0,47.37
13005,2026-09-06T18:26:00Z,22.468398,88.510177,118.33,2.05,171.87,80.54,2.94,0.488,3.13,2.35,0,0.03,88.27
12302,2026-09-07T21:33:00Z,22.736415,88.539024,43.55,10.72,168.03,210.29,3.85,0.289,3.15,2.42,0,2.76,231.0
12302,2026-09-08T00:40:00Z,22.491347,88.276004,94.05,19.68,19.47,15.18,16.03,0.657,6.74,6.94,0,2.08,34.64
12020,2026-09-09T03:47:00Z,22.737622,88.233054,93.07,8.36,133.16,86.82,8.09,0.166,2.15,3.45,0,0,94.62
12019,2026-09-01T06:54:00Z,22.687031,88.219547,71.7,13.02,153.89,119.97,9.03,0.574,2.04,3.03,0,0,137.18
12020,2026-09-02T09:01:00Z,22.605142,88.516971,106.91,12.55,101.4,62.17,14.47,0.143,3.8,3.09,0,1.78,67.87
12301,2026-09-03T12:08:00Z,22.639125,88.219123,31.96,5.08,14.41,32.89,5.99,0.706,4.23,6.11,0,2.9,47.04
12302,2026-09-04T15:15:00Z,22.624928,88.468879,111.75,11.5,51.67,29.3,15.6,0.397,4.35,5.81,0,0.04,42.98
12302,2026-09-05T18:22:00Z,22.672488,88.173436,86.77,27.41,144.98,118.12,26.83,0.268,4.52,2.11,0,1.81,120.27
12020,2026-09-06T21:29:00Z,22.679087,88.291922,77.65,30.86,138.73,133.98,33.13,0.293,1.39,3.02,0,1.75,136.03
12302,2026-09-07T00:36:00Z,22.481418,88.237524,45.85,2.84,107.88,166.89,0,0.056,7.92,3.94,0,0.02,158.15
13005,2026-09-08T03:43:00Z,22.425386,88.431815,73.02,10.26,61.72,56.54,11.85,0.286,1.99,1.43,0,0,59.15
13006,2026-09-09T06:50:00Z,22.444572,88.441532,65.6,13.83,20.88,19.21,16.04,0.13,6.51,2.97,0,3.17,28.8
13006,2026-09-01T09:57:00Z,22.458761,88.504128,115.38,24.31,72.31,46.93,25.56,0.365,1.98,3.35,0,1.52,60.97
12301,2026-09-02T12:04:00Z,22.70862,88.290492,103.95,9.22,121.59,81.08,9.87,0.227,6.04,4.96,0,1.68,87.99
12020,2026-09-03T15:11:00Z,22.591466,88.50925,39.13,18.94,87.87,162.01,14.5,0.206,1.52,0.34,0,0,154.39
12301,2026-09-04T18:18:00Z,22.631209,88.26896,60.42,7.0,177.39,213.63,1.91,0.444,3.32,5.8,0,0.95,208.06
12301,2026-09-05T21:25:00Z,22.428678,88.487508,34.47,4.38,104.2,216.58,7.07,0.247,2.4,4.54,1,1.79,217.31
12019,2026-09-06T00:32:00Z,22.643765,88.188681,100.64,8.65,86.36,62.46,15.78,0.315,1.31,1.81,0,1.63,63.93
13006,2026-09-07T03:39:00Z,22.427634,88.511111,60.94,7.75,98.84,120.64,2.38,0.597,7.07,3.03,0,2.46,119.39
13006,2026-09-08T06:46:00Z,22.470672,88.479026,33.13,0,104.11,203.82,0,0.164,2.17,2.97,1,2.15,214.07
12302,2026-09-09T09:53:00Z,22.582897,88.317838,105.07,17.17,48.65,33.86,18.77,0.336,4.21,2.96,0,1.68,38.41
12020,2026-09-01T12:00:00Z,22.46027,88.31119,43.47,14.48,103.29,157.39,13.98,0.082,7.16,3.45,0,0.38,154.82
13005,2026-09-02T15:07:00Z,22.572067,88.428473,84.78,5.05,125.78,81.32,8.5,0.092,1.14,1.22,0,0.8,91.71
12301,2026-09-03T18:14:00Z,22.419672,88.466596,117.52,9.32,43.35,22.25,0.7,0.216,4.09,4.62,0,0.41,28.07
12301,2026-09-04T21:21:00Z,22.495892,88.479403,58.0,9.0,92.7,90.86,15.11,0.035,2.75,0,0,3.24,97.79
13005,2026-09-05T00:28:00Z,22.417378,88.491529,65.72,10.59,166.38,172.91,16.37,0.314,3.41,4.07,0,0.21,172.09
12302,2026-09-06T03:35:00Z,22.506911,88.53681,107.14,11.27,117.59,74.88,10.66,0.021,5.21,4.12,1,1.16,90.51
13006,2026-09-07T06:42:00Z,22.498937,88.423765,54.78,3.21,161.5,211.91,4.11,0.203,1.05,8.02,0,1.19,201.53
12020,2026-09-08T09:49:00Z,22.610012,88.414212,35.75,4.94,177.94,335.78,7.45,0.537,6.36,2.96,0,2.12,324.08
13006,2026-09-09T12:56:00Z,22.729234,88.293399,42.59,3.84,7.51,11.36,14.29,0.261,6.71,1.3,0,3.18,19.56
12019,2026-09-01T15:03:00Z,22.524349,88.447684,106.09,1.32,151.79,103.6,2.27,0.087,2.28,3.17,0,0.87,100.52
12019,2026-09-02T18:10:00Z,22.452772,88.546939,67.84,0.41,159.97,145.74,0,0.363,2.36,5.66,0,2.75,151.7
12019,2026-09-03T21:17:00Z,22.666418,88.217442,66.83,20.51,103.78,113.43,16.3,0.465,2.24,4.32,0,2.4,116.23
12302,2026-09-04T00:24:00Z,22.636862,88.400675,74.06,0,138.15,104.18,0,0.323,2.4,3.06,0,1.38,117.52
12302,2026-09-05T03:31:00Z,22.640373,88.203516,50.36,4.37,158.23,190.24,9.09,0.496,4.19,5.41,0,0,201.38
12020,2026-09-06T06:38:00Z,22.489526,88.363893,62.33,18.85,36.35,43.1,16.35,0.336,5.13,4.28,0,2.45,56.95
12301,2026-09-07T09:45:00Z,22.547305,88.190392,83.45,14.76,11.49,7.75,15.57,0.245,5.91,2.44,0,1.12,17.07
13005,2026-09-08T12:52:00Z,22.573724,88.233078,54.3,12.29,110.2,115.44,10.23,0.206,2.84,1.5,0,1.05,125.27
12020,2026-09-09T15:59:00Z,22.746033,88.268409,59.75,12.72,3.48,3.97,20.64,0.643,6.06,2.47,0,1.16,19.58
12020,2026-09-01T18:06:00Z,22.734281,88.257324,34.51,15.66,146.93,308.1,11.88,0.623,7.23,5.58,0,1.25,292.94
